date,draw_id,n1,n2,n3,n4,n5,n6
2000-01-01,SYN-0001,23,27,30,40,43,48
2000-01-02,SYN-0002,1,19,23,37,41,48
2000-01-03,SYN-0003,13,19,34,35,42,44
2000-01-04,SYN-0004,4,11,15,22,24,47
2000-01-05,SYN-0005,7,17,23,31,33,49
2000-01-06,SYN-0006,3,6,13,29,30,33
2000-01-07,SYN-0007,12,16,21,26,35,40
2000-01-08,SYN-0008,4,9,19,25,44,49
2000-01-09,SYN-0009,7,30,31,35,45,47
2000-01-10,SYN-0010,5,19,22,23,29,32
2000-01-11,SYN-0011,1,3,8,17,31,34
2000-01-12,SYN-0012,1,5,25,35,40,44
2000-01-13,SYN-0013,18,24,31,40,45,48
2000-01-14,SYN-0014,10,17,35,41,46,48
2000-01-15,SYN-0015,3,10,16,24,41,49
2000-01-16,SYN-0016,17,21,27,28,41,42
2000-01-17,SYN-0017,17,21,31,36,41,47
2000-01-18,SYN-0018,8,9,26,30,36,48
2000-01-19,SYN-0019,8,22,23,35,36,43
2000-01-20,SYN-0020,2,5,7,28,45,48
2000-01-21,SYN-0021,7,28,30,34,35,39
2000-01-22,SYN-0022,9,13,21,30,40,48
2000-01-23,SYN-0023,5,9,36,37,40,49
2000-01-24,SYN-0024,5,13,19,24,26,36
2000-01-25,SYN-0025,3,6,12,35,36,38
2000-01-26,SYN-0026,12,18,23,24,34,36
2000-01-27,SYN-0027,2,4,16,20,27,39
2000-01-28,SYN-0028,3,6,18,21,31,32
2000-01-29,SYN-0029,14,27,32,36,46,48
2000-01-30,SYN-0030,3,6,12,26,31,42
2000-01-31,SYN-0031,5,9,11,18,35,43
2000-02-01,SYN-0032,8,12,30,32,39,41
2000-02-02,SYN-0033,6,14,21,28,46,49
2000-02-03,SYN-0034,13,27,28,35,41,49
2000-02-04,SYN-0035,4,25,26,27,31,34
2000-02-05,SYN-0036,10,13,23,35,47,48
2000-02-06,SYN-0037,3,6,9,17,25,37
2000-02-07,SYN-0038,21,31,34,38,39,48
2000-02-08,SYN-0039,14,15,19,21,31,36
2000-02-09,SYN-0040,4,17,21,25,28,30
2000-02-10,SYN-0041,2,9,12,18,24,29
2000-02-11,SYN-0042,16,23,27,29,34,39
2000-02-12,SYN-0043,11,13,17,20,24,32
2000-02-13,SYN-0044,4,6,13,15,35,46
2000-02-14,SYN-0045,2,23,24,25,26,30
2000-02-15,SYN-0046,9,28,29,32,44,45
2000-02-16,SYN-0047,15,16,27,28,41,48
2000-02-17,SYN-0048,22,27,33,39,43,45
2000-02-18,SYN-0049,12,14,22,27,44,45
2000-02-19,SYN-0050,5,16,18,20,36,38
2000-02-20,SYN-0051,1,13,15,20,28,46
2000-02-21,SYN-0052,8,22,23,26,36,40
2000-02-22,SYN-0053,3,12,13,14,31,33
2000-02-23,SYN-0054,1,3,4,16,20,30
2000-02-24,SYN-0055,2,5,13,33,39,47
2000-02-25,SYN-0056,2,12,14,16,25,40
2000-02-26,SYN-0057,19,30,32,34,37,45
2000-02-27,SYN-0058,7,19,27,37,38,43
2000-02-28,SYN-0059,2,3,19,33,38,41
2000-02-29,SYN-0060,3,7,19,37,46,48
2000-03-01,SYN-0061,7,12,13,19,30,47
2000-03-02,SYN-0062,1,11,20,24,27,39
2000-03-03,SYN-0063,2,24,27,30,33,41
2000-03-04,SYN-0064,18,19,26,44,45,48
2000-03-05,SYN-0065,6,16,20,22,24,43
2000-03-06,SYN-0066,31,35,36,37,46,48
2000-03-07,SYN-0067,18,26,28,30,36,40
2000-03-08,SYN-0068,1,5,14,16,29,37
2000-03-09,SYN-0069,2,19,37,39,40,44
2000-03-10,SYN-0070,2,8,18,31,43,45
2000-03-11,SYN-0071,3,6,10,16,37,38
2000-03-12,SYN-0072,5,6,14,30,42,45
2000-03-13,SYN-0073,3,6,19,27,40,45
2000-03-14,SYN-0074,6,14,21,24,25,29
2000-03-15,SYN-0075,20,21,24,38,43,44
2000-03-16,SYN-0076,1,6,25,30,36,38
2000-03-17,SYN-0077,4,10,15,18,29,30
2000-03-18,SYN-0078,1,5,15,17,38,46
2000-03-19,SYN-0079,2,12,24,40,41,42
2000-03-20,SYN-0080,5,10,15,23,28,35
2000-03-21,SYN-0081,4,12,16,27,31,38
2000-03-22,SYN-0082,2,3,7,9,29,43
2000-03-23,SYN-0083,2,5,9,27,32,46
2000-03-24,SYN-0084,16,21,23,26,44,46
2000-03-25,SYN-0085,11,22,33,44,45,49
2000-03-26,SYN-0086,4,7,16,20,35,37
2000-03-27,SYN-0087,10,18,22,36,37,42
2000-03-28,SYN-0088,14,35,37,46,47,49
2000-03-29,SYN-0089,3,18,34,45,46,47
2000-03-30,SYN-0090,10,20,33,34,38,40
2000-03-31,SYN-0091,1,2,4,18,34,45
2000-04-01,SYN-0092,2,9,10,20,31,33
2000-04-02,SYN-0093,2,36,42,45,48,49
2000-04-03,SYN-0094,19,20,28,42,46,47
2000-04-04,SYN-0095,7,8,13,23,25,46
2000-04-05,SYN-0096,18,21,34,37,41,42
2000-04-06,SYN-0097,12,18,20,21,27,40
2000-04-07,SYN-0098,6,9,10,12,38,47
2000-04-08,SYN-0099,17,26,27,30,32,33
2000-04-09,SYN-0100,2,8,9,17,20,46
2000-04-10,SYN-0101,3,16,28,34,39,49
2000-04-11,SYN-0102,5,12,20,30,45,49
2000-04-12,SYN-0103,5,9,14,25,27,47
2000-04-13,SYN-0104,3,11,21,23,31,48
2000-04-14,SYN-0105,3,19,26,37,39,49
2000-04-15,SYN-0106,22,26,31,33,38,48
2000-04-16,SYN-0107,4,14,19,28,31,42
2000-04-17,SYN-0108,10,17,21,22,24,33
2000-04-18,SYN-0109,5,7,15,35,38,49
2000-04-19,SYN-0110,2,14,23,31,33,40
2000-04-20,SYN-0111,1,8,17,18,21,48
2000-04-21,SYN-0112,7,12,13,21,38,41
2000-04-22,SYN-0113,9,18,20,22,28,35
2000-04-23,SYN-0114,3,4,8,12,24,31
2000-04-24,SYN-0115,12,15,17,19,42,48
2000-04-25,SYN-0116,7,13,16,38,42,49
2000-04-26,SYN-0117,22,23,34,35,38,40
2000-04-27,SYN-0118,8,15,19,27,28,31
2000-04-28,SYN-0119,1,4,11,15,31,49
2000-04-29,SYN-0120,7,17,18,22,26,40
2000-04-30,SYN-0121,6,9,17,23,32,42
2000-05-01,SYN-0122,6,9,10,32,34,48
2000-05-02,SYN-0123,3,16,18,19,32,33
